Data,MSCI Japan
06/2019,114825.4259830486
07/2019,114985.3812382269
08/2019,113820.238801168
09/2019,118420.81831395079
10/2019,124167.36658392366
11/2019,124864.59640806829
12/2019,127468.23248601257
01/2020,125734.14617265291
02/2020,114235.90547469356
03/2020,106070.61151879863
04/2020,111787.4546144968
05/2020,118407.01326444527
06/2020,118390.3461924813
07/2020,116511.1572110807
08/2020,125379.96621691137
09/2020,126607.04431645364
10/2020,124583.1080815658
11/2020,140147.70280609143
12/2020,145931.02712935407
01/2021,144470.3855499666
02/2021,146658.16789409396
03/2021,148215.5196441365
04/2021,145958.76817056906
05/2021,148229.77363834137
06/2021,147799.46014399902
07/2021,145928.09028277904
08/2021,150407.99720157805
09/2021,154545.45284490648
10/2021,149346.84158050982
11/2021,145665.19574924195
12/2021,148424.26022331257
01/2022,140894.46619539944
02/2022,139319.3250116445
03/2022,138619.51375547852
04/2022,126414.9146911541
05/2022,128485.65341095088
06/2022,118343.74947389295
07/2022,125088.22698644
08/2022,121893.48038766375
09/2022,109264.02998950591
10/2022,112502.62352058692
11/2022,123389.64471638855
12/2022,123718.51541470332
01/2023,131406.88045163837
02/2023,126362.5378095614
03/2023,131372.2742977289
04/2023,131853.09407074994
05/2023,134306.20273220263
06/2023,139806.18683207786
07/2023,144026.58500861414
08/2023,140537.33068705373
09/2023,137585.51928872196
10/2023,131388.92266366372
11/2023,142629.2446318373
12/2023,148856.14502410273
01/2024,155730.38626079573
02/2024,160396.62393586076
03/2024,165238.58604866936
04/2024,157212.76424604416
05/2024,159322.69209688975
06/2024,158187.38577630956
07/2024,167359.19504215405
08/2024,168207.45734557704
09/2024,167240.1124606472
10/2024,160724.85862918478
